estacao;linha;operadora;endereco;integracoes;banheiro_acessivel_feminino;banheiro_acessivel_masculino;banheiro_acessivel_unissex;banheiro;elevador;escada_rolante;rampa;piso_tatil;transposicao_de_plataformas;telefone_adaptado_pcr;outras_acessibilidades
Palmeiras-Barra Funda;Linha 7-Rubi;TIC Trens;Avenida Auro Soares de Moura Andrade, 664 (Barra Funda), São Paulo, SP / Rua da Várzea, s/nº (Várzea da Barra Funda), São Paulo, SP, 01156-001.;"3; Linha 3-Vermelha; 8; Linha 8-Diamante; 10; Linha 10-Turquesa; 11; Linha 11-Coral; Serviço Expresso Aeroporto";sim;sim;nao;nao;nao;sim;sim;sim;sim;nao;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Transposição de plataformas; Escadas rolantes; Rampa; Piso Tátil"
Água Branca;Linha 7-Rubi;TIC Trens;Av. Santa Marina 296, São Paulo, SP, 02732-040.;"6; Linha 6-Laranja";nao;nao;sim;nao;nao;nao;sim;sim;sim;sim;"Banheiro Acessível Unissex; Telefone adaptado para PCR; Transposição de plataformas; Rampa; Piso Tátil"
Lapa;Linha 7-Rubi;TIC Trens;Rua William Speers, nº 863, São Paulo, SP, 05065-010.;;nao;nao;sim;nao;nao;nao;sim;nao;nao;nao;"Banheiro Acessível Unissex; Rampa"
Piqueri;Linha 7-Rubi;TIC Trens;Rua José Peres Campelo, 400, Piqueri, São Paulo - SP, 02913-090.;;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;
Pirituba;Linha 7-Rubi;TIC Trens;Rua Camarões, s/nº (Chácara Inglesa), São Paulo, SP. / Av. Paula Ferreira, s/nº (Barrancão), São Paulo, SP.;;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;
Vila Clarice;Linha 7-Rubi;TIC Trens;Praça Comendador Souza Cruz, s/nº, São Paulo, SP, 05174-410.;;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;
Jaraguá;Linha 7-Rubi;TIC Trens;Estrada de Taipas, s/nº - Jaraguá, São Paulo, SP, 02991-000.;;sim;sim;nao;nao;nao;nao;sim;sim;sim;sim;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Telefone adaptado para PCR; Transposição de plataformas; Rampa; Piso Tátil"
Vila Aurora;Linha 7-Rubi;TIC Trens;Rua Francisco da Cunha Menezes, 1066, São Paulo, SP, 04843-020.;;sim;sim;nao;nao;nao;sim;sim;sim;sim;sim;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Telefone adaptado para PCR; Transposição de plataformas; Escadas rolantes; Rampa; Piso Tátil"
Perus;Linha 7-Rubi;TIC Trens;Avenida Dr. Silvio de Campos, s/nº (Vila Perus) / Praça Inácio Dias, s/nº (Perus), São Paulo, SP, 05204-000.;;sim;sim;nao;nao;nao;nao;sim;nao;nao;nao;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Rampa"
Caieiras;Linha 7-Rubi;TIC Trens;Rodovia Tancredo de Almeida Neves, Km 34 - Centro, Caieiras, SP, 07700-000.;;sim;sim;nao;nao;nao;nao;sim;sim;sim;sim;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Telefone adaptado para PCR; Transposição de plataformas; Rampa; Piso Tátil"
Franco da Rocha;Linha 7-Rubi;TIC Trens;Rua Cavalheiro Ângelo Sestini, 200 (Vila Artur Sestini) / Praça Caieiras, s/nº (Vila Vera Cruz), Franco da Rocha, SP, 07803-045.;;sim;sim;nao;nao;nao;nao;sim;sim;sim;nao;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Transposição de plataformas; Rampa; Piso Tátil"
Baltazar Fidélis;Linha 7-Rubi;TIC Trens;Avenida Israel, s/nº (Vila Bela) / Estrada da Paradinha, s/nº (Chácara São Luiz), Franco da Rocha, SP, 07780-000.;;nao;nao;sim;nao;nao;nao;sim;sim;sim;sim;"Banheiro Acessível Unissex; Telefone adaptado para PCR; Transposição de plataformas; Rampa; Piso Tátil"
Francisco Morato;Linha 7-Rubi;TIC Trens;Rua Gerônimo Caetano Garcia, s/nº / Passarela das Magnólias, s/nº, Francisco Morato, SP, 07790-000.;;sim;sim;nao;nao;nao;sim;sim;sim;sim;sim;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Telefone adaptado para PCR; Fraldário; Transposição de plataformas; Escadas rolantes; Rampa; Piso Tátil"
Botujuru;Linha 7-Rubi;TIC Trens;Rua Bela Vista, s/nº (Botujuru) / Rua João Julião Moreira, s/nº (Vila Constança), Campo Limpo Paulista, 13230-000.;;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;
Campo Limpo Paulista;Linha 7-Rubi;TIC Trens;Rua Felícia Pereira Pinto, s/nº (Vila Thomazina) / Av. Alfred Krupp, s/nº (Centro), Campo Limpo Paulista, SP, 12230-000.;;nao;nao;sim;nao;nao;nao;sim;nao;nao;nao;"Banheiro Acessível Unissex; Rampa"
Várzea Paulista;Linha 7-Rubi;TIC Trens;Rua Antonio Feres Sada, s/nº / Rua Isaac Galvão, s/nº - Centro, Várzea Paulista, SP, 13220-000.;;sim;sim;nao;nao;nao;nao;sim;sim;sim;sim;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Telefone adaptado para PCR; Transposição de plataformas; Rampa; Piso Tátil"
Jundiaí;Linha 7-Rubi;TIC Trens;Avenida União dos Ferroviários s/nº - Ponte de Campinas, Jundiaí, SP, 13200-000.;;sim;sim;nao;nao;nao;nao;sim;sim;sim;nao;"Banheiro Acessível Feminino; Banheiro Acessível Masculino; Transposição de plataformas; Rampa; Piso Tátil"
