viagem_planejada_id;usuario_id;rotina_id;sentido;estacao_origem_id;estacao_destino_id;tempo_saida_id;tempo_chegada_id;chegada_dia_offset;duracao_planejada_minutos;antecedencia_assistencia_minutos;assistencia_prevista;dados_sinteticos
VP-001;USR-002;ROT-001;ida;EST-017;EST-001;TMP-0915;TMP-1015;0;60;20;True;True
VP-002;USR-002;ROT-001;volta;EST-001;EST-017;TMP-1820;TMP-1900;0;40;25;True;True
VP-003;USR-002;ROT-002;ida;EST-016;EST-003;TMP-0800;TMP-0815;0;15;20;True;True
VP-004;USR-002;ROT-002;volta;EST-003;EST-016;TMP-1930;TMP-2000;0;30;20;True;True
VP-005;USR-003;ROT-003;ida;EST-010;EST-001;TMP-0700;TMP-0730;0;30;0;False;True
VP-006;USR-003;ROT-003;volta;EST-001;EST-010;TMP-1430;TMP-1800;0;210;0;False;True
VP-007;USR-003;ROT-004;ida;EST-009;EST-008;TMP-1800;TMP-1900;0;60;0;False;True
VP-008;USR-003;ROT-004;volta;EST-008;EST-009;TMP-1930;TMP-2000;0;30;0;False;True
VP-009;USR-001;ROT-005;ida;EST-003;EST-001;TMP-0800;TMP-0815;0;15;15;True;True
VP-010;USR-001;ROT-005;volta;EST-001;EST-003;TMP-1900;TMP-1930;0;30;15;True;True
VP-011;USR-004;ROT-006;ida;EST-005;EST-001;TMP-0700;TMP-0730;0;30;0;False;True
VP-012;USR-004;ROT-006;volta;EST-001;EST-005;TMP-1800;TMP-1830;0;30;0;False;True
VP-013;USR-005;ROT-007;ida;EST-006;EST-002;TMP-0800;TMP-0945;0;105;0;False;True
VP-014;USR-005;ROT-007;volta;EST-002;EST-006;TMP-1930;TMP-2000;0;30;0;False;True
VP-015;USR-006;ROT-008;ida;EST-014;EST-016;TMP-0815;TMP-0915;0;60;15;True;True
VP-016;USR-006;ROT-008;volta;EST-016;EST-014;TMP-1800;TMP-1900;0;60;20;True;True
